example,label
@ekrem_imamoglu Abartma lütfen abartma işleri yangın söndürmek abartma,not manipulative
@meral_aksener Sayın başkanım #Bozkurt daki #selfelaketi nin nedeni yağışdan çok HES olduğu söyleniyor. Çok insanımız öldü. Kayıp çok. Lütfen yardım edin. @kilicdarogluk @mansuryavas06,manipulative
@meral_aksener bizde pkk ile kolkola girdiğini sürekli yüzüne vuracağız bize adamlarını saldırtma ama!!,manipulative
@meral_aksener Toplama partinin genel başkanı mı diyo bunu 😂,manipulative
"@ekrem_imamoglu Biz de bu ikiyüzlülüğü unutmayacağız. Şehiti anmak değil bu, şehitle dalga geçmek",manipulative
@meral_aksener Geçmiş olsun Türkiye,not manipulative
@MHP_Bilgi Çünkü akılları kendilerine yetmiyor birde bizemi verecekler,manipulative
"@meral_aksener 100 tane kişiyle görüşüyorsun 1 kişi sana bunları anlatıyor, sonra bir bakıyoruz o kişi iyi parti üyesi. Yani yine dümen video. Kalan 99 kişi sana saydırıyor, onlarida hakaret ve darpla yanından uzaklaştırıyorsun",not manipulative
@ekrem_imamoglu Atlar nerede 🐴🐴🐴 at hırsızı,manipulative
@meral_aksener Amin,not manipulative
@ekrem_imamoglu Rantcilik böyle bir sey demek??  https://t.co/KfqSF8W4ik,unusable
"@RTErdogan Reis eskiden herkes kirada oturuyordu, çoğu insan sokakta kalıyordu, şimdi neredeyse herkesin kendine ait evi var.. Bunlar hep senin sayende reis iyi ki varsın 🙏",not manipulative
@meral_aksener Bazı Yobazlara çay fırlatsaydınız keşke... O dilden anlarlar çünkü.,manipulative
@tcbestepe İnşallah.🤲🤲🤲,not manipulative
@tcbestepe @RTErdogan Cumhurbaşkanının iyice gerçeklikten koptuğunu düşünüyorum. Taliban Türkiye Cumhuriyeti Devleti'nin muhatabı mıdır? Ne diyorsunuz Allahaşkına?   https://t.co/OUDu9A6KLq,manipulative
@ekrem_imamoglu  https://t.co/ngOvv3Npj0,unusable
@ekrem_imamoglu Afiyet bal şeker olsun başkanım,not manipulative
@meral_aksener samimiyseniz bu daveti kabul edin,not manipulative
"@ekrem_imamoglu Taksim Meydanı'nda sana bağli olarak çalısan zabita bir hanima uçan tekme attı. Seninde, seni o koltuga oturtanlarinda Allah azaplarinizi arttirsin. Sen bu topraklarin gördüğü en iğrenc insansin.    https://t.co/Enu7MYpwM9",manipulative
@ekrem_imamoglu AFGANİSTAN Ve Suriye olmak istemiyorsan    Atatürk’ün kurduğu  Türkiye cumhuriyetine ve ilkelerine sahip çık 🇹🇷,not manipulative
@meral_aksener @kilicdarogluk  https://t.co/9klKKgUJkt,unusable
@tcbestepe @EmineTaskese @RTErdogan ALGI NEDİR? SOSYAL MEDYA? Konuşalım Sonsuz geçmişi dizayn eden sonsuz geleceğin sahibi Yaratıcıya inanan müslüman ayağa kalk  https://t.co/VrH3OccQnd,unusable
