example,label
Banana fish,unusable
@gazali_a1 Kürtler dağlarda dağınık halde yaşayan bir yayla milleti zaten.Dunya Harbi öncesi bölgedeki demografiye bakın. Yeşil bolgelerde  yaşayan Ermeni sayısıyla bej rengi bölgede yaşayan Kürt sayısı aynı.  https://t.co/lWPHQjbx3X,neither
I’ve never seen The Royle Family. Should I?,unusable
@wfcouncil Hello! I’ve just driven past &amp; seen the giant bouncing castle! How long is that there for and what times is it open? Many thanks,unusable
"@superbeyinsiz Beyinsiz kardeşim, hizmet özel işletmecilerde,fiyatları onlae belirliyorlar.Ada parkta kutu mola 10 lira, Bakkalda 5 lira.",neither
@__Bastett__0606 Yalan ve fitne.,neither
@miskadaily  https://t.co/ugNoh0mzB7,unusable
Şaka şaka niyetlerini bilemem tabi ama açık arayla en sevdiğim camiidir kendisi ❤️,neither
@neleydaleyla @alisalekmahdavi @DrAhmetKizilay Aptal sen bana hakaret etmeseydin küfür eder miydim beyinsiz amk ajshjsnsnsmsmsk,neither
@Blackveil_info Inanın ayaklarınıza o kadar odaklanmışım resimdeki imzanızı ve tarihi daha yeni fark ettim.. 21.08 taptaze 😂,neither
Şu beyinsiz aptalı spamlayın lütfen 😡  https://t.co/y8MsqBr6xR,unusable
@OzanTheShark Şimdi de Bu yanlış mı doğru mu diye düşüncem,neither
"kaçıyor.   İşte o günden sonra Afganistan bugünkü duruma geliyor. Sürekli bir iç savaş, Sürekli bir gerileme..   Taliban denen bu yobaz ve gericiler ele geçiriyorlar ülkeyi.  Atatürk'ün önemi işte burada ortaya çıkıyor. O, ona inanan asker arkadaşları, askerleri, halkı ..  https://t.co/TeYVRgdIJ0",neither
"@___Esra___Ca LONDRA'nin bir kasabasında halk hayatı boyunca günlük hayatta çırılçıplak yaşıyor,bu eylem yapan chp'liler Afgan kadınları gibi çok giyinik durmuslar:)(birilerini çok örtülü diye eleştirirsen seni de yobaz gören birileri çıkar)",provocative
@turinturambar35 @akplisinyani Kpop dinliyorum.Akpli değilim.2023'te seçimi erdoğan almazsa şükür namazı kılıcam.,biasedAgainstGovernment
"@EmineG08 @SebnemAksuBatur @KerimAkdeniz8 @eskn__ Yahu, aynı ülkede mi yaşıyoruz bilemedim? Zaten şuan denge %5 içkili, %95 içkisiz.Çünkü,AKPli Belediyeler ruhsat vermiyor!Rahatça ruhsat verilse,iş yapan kesime doğru dükkanlar kayar zaten.Deniz kıyısında koku almak psikolojiktir!Gölhisar'a hiç gitmeyin.Anason orada yetiştirilir!",biasedAgainstGovernment
"@lordsinov Bunu demek istemezdim ancak kişiler AKPli olsalardı AKP ile ilgili sosyal medya paylaşımları öne çıkardı. Demek istediğim, insanlık, vicdan, vatan, Atatürk, doğa, yaşam... muhaliflerin tekelinde değil. Siyasetten bağımsız, her tip insan, her yerde var. HDPKK hariç.  https://t.co/fsFShARmFH",biasedTowardsGovernment
"@moray1985 @AlcayirCengiz birincisinde canı cehenneme diyebildi isen, ikincisinde de canı cehenneme denmeli bence de :)  aynısı senin için de geçerli kardeş  terse kalınca, laf mahallene gelince  hepsinin canı cehenneme demişsin :))  Vali olayından önce var mı bi ""canı cehenneme"" ifaden CHPli dayı için?",provocative
ağır cahil akpli gördüğümde bile bazen parmağımı uzatıp iki tık tık ile engellemeye üşeniyorum ama hayvanına hesap açıp konuşturanları görünce ışık hızında blok çakıyorum,provocative
"@naymgolan benim meritokrasi en kafama yatana benim ama onun da eksiği var, kusursuz sistem zor. her şeyin çözümü halkın beyinsiz olmaması, bu yüzden ne yaparsan yap zeka ortalaması yüksek olan halklar genelde her zaman daha iyi durumda oluyor.",neither
“Yeşil ördek gibi” dinlemeye gidiyorum eşlik etmek isteyen açsın ama Kazancı Bedih’in seslendirdiği olsun,neither
"@__sebnemsebnem_ @kaya076910 Türkiye sebatay, türk görünen Ermeni Yahudi dolu. Güçlü kısımları holding sahipleri, yada devletin önemli mercilerine. Medya da. Sanatçılar da, yazarlar da.",provocative
"Sayın Cumhurbaşkanım @RTErdogan siz nasıl ki Amerika ve avrupa ülkelerinin ellerin de hiç bir bilgi ve belge olmadan sözde ermeni soykırım tasarılarını meclislerinden geçirdiğinde ""Bizim için yok hükmündedir "" diyorsanız+++ #PcrDayatmasıDurdurulsun",provocative
"@Avicenna_Razi @siyamusta61SLx Benim zoruma giden,Erdoğan'ın aşı gönüllü olacak dedikten sonra aşıya zorlamak için pcr testi zorunluluğu getirmesi. Bu şark kurnazlığı değil de nedir? Erdoğan'ın tarzı değil ama yaptı.",biasedAgainstGovernment
"..Ve çünkü,Türk milletinin yürümekte olduğu terakki ve medeniyet yolunda,elinde ve kafasında tuttuğu meşale,müspet ilimdir.Şunu da ehemmiyetle tebarüz ettirmeliyim ki,yüksek bir insan cemiyeti olan Türk milletinin tarihi bir vasfı da, güzel sanatları sevmek ve onda yükselmektir..",neither
📢 ENGENES KINDLY SPREAD !  ‼️ WE'VE TAKEN THE LEAD AGAIN. LET'S CREATE A HUGE GAP. DOUBLE-CHECK WHO YOU'RE VOTING FOR BEFORE YOU CAST YOUR VOTES. LET'S SECURE THE FIRST SPOT. DON'T LET THE OPPONENT CATCH UP  ‼️,unusable
@ApakayKATUN İddia değil Rabişko bizzat AKP eski milletvekili Fevzi İşbaşaran kendi twitter hesabınsan paylaşmış ve bu yalanlanmamış ! Siyasette güven vermek ve basamakları hızla tırmanmak için bu ismi kullanmış bu şahıs kısaca TÜRK ve TÜRKİYE aleyhtarı bir Ermeni !,provocative
We've heard of WAR PROFITEERING...  We've never seen PANDEMIC PROFITEERING before...  Ya see somethin' new every day...,unusable
@theilaydadymz @melihrus @BeiktaTaraftar5 en chpli sensin amk tamam,provocative
@habbazzade Soy ismi oğlu olanlar icimizdeki Ermeni asilli türklere verilen soy isim gibi gözüküyor muhtemelende öyle,provocative
@JkBesiktasjkkhh @BayPlus2 @ekremalpay8 Sadece iddia analiziyle maç analizi yapanla konuşmam ama iddianın bu işle alakası olmadığını düşünenle hiç konuşmam,neither
no les pasa que respiran y te amo te amo tanto pero posta que te amo como nunca ame a nadie yo en verdad te amo pero muchísimo puedo hacer lo que sea por y para vos porque te amo sos lo mejor te amo y nunca dejaré de amarte te amo demasiado me duele el pecho de tanto amarte,unusable
Pcr testini ancak ve ancak kendisinin virüslü biriyle temas ettiğini bilen yada bundan şüphelenen veya virüse dair bir takım belirtiler gösteren kişiler kendi rızasıyla yaptırır..  #PcrDayatmasıDurdurulsun,biasedAgainstGovernment
